Image,True_Label,True_Label_Name,Predicted_Label,Predicted_Label_Name,Correct
29559503.jpg,0,Cassava Bacterial Blight (CBB),4,Healthy,False
2034410033.jpg,0,Cassava Bacterial Blight (CBB),4,Healthy,False
910008110.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
4150882054.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
2907262343.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
3526787181.jpg,0,Cassava Bacterial Blight (CBB),3,Cassava Mosaic Disease (CMD),False
1241243048.jpg,0,Cassava Bacterial Blight (CBB),4,Healthy,False
1541989559.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
211163536.jpg,0,Cassava Bacterial Blight (CBB),4,Healthy,False
3579904762.jpg,0,Cassava Bacterial Blight (CBB),4,Healthy,False
2612857188.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
492140725.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
3385309388.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
1072326766.jpg,0,Cassava Bacterial Blight (CBB),4,Healthy,False
815758241.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
3637527280.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
2892596636.jpg,0,Cassava Bacterial Blight (CBB),4,Healthy,False
1758885297.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
2953075261.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
922395842.jpg,0,Cassava Bacterial Blight (CBB),2,Cassava Green Mottle (CGM),False
4268397225.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
2631607520.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
1331134229.jpg,0,Cassava Bacterial Blight (CBB),1,Cassava Brown Streak Disease (CBSD),False
1442345924.jpg,0,Cassava Bacterial Blight (CBB),4,Healthy,False
537704740.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
1733574271.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
3818300635.jpg,0,Cassava Bacterial Blight (CBB),4,Healthy,False
2642218624.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
1850723562.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
2325593378.jpg,0,Cassava Bacterial Blight (CBB),4,Healthy,False
2720050371.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
2431396348.jpg,0,Cassava Bacterial Blight (CBB),3,Cassava Mosaic Disease (CMD),False
1185995427.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
1795318849.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
2350570132.jpg,0,Cassava Bacterial Blight (CBB),4,Healthy,False
3250010085.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
1785596731.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
1304015285.jpg,0,Cassava Bacterial Blight (CBB),4,Healthy,False
319927039.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
1027796931.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
478757157.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
3778585395.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
2276860012.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
2173516398.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
3134495079.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
3269646431.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
4204435196.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
253418223.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
2555433348.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
3920433539.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
3234915269.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
2807251321.jpg,0,Cassava Bacterial Blight (CBB),4,Healthy,False
3107856880.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
749210924.jpg,0,Cassava Bacterial Blight (CBB),4,Healthy,False
3088622958.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
2842557158.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
3435885572.jpg,0,Cassava Bacterial Blight (CBB),4,Healthy,False
255719939.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
901404486.jpg,0,Cassava Bacterial Blight (CBB),4,Healthy,False
201703584.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
1973051224.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
3928883065.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
2599658053.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
1312991272.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
3905302037.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
794817264.jpg,0,Cassava Bacterial Blight (CBB),4,Healthy,False
4192665082.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
1674288573.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
1881994461.jpg,0,Cassava Bacterial Blight (CBB),4,Healthy,False
1127286868.jpg,0,Cassava Bacterial Blight (CBB),3,Cassava Mosaic Disease (CMD),False
1094295442.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
377552461.jpg,0,Cassava Bacterial Blight (CBB),2,Cassava Green Mottle (CGM),False
1535057791.jpg,0,Cassava Bacterial Blight (CBB),4,Healthy,False
121610069.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
3770389028.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
2044199243.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
3708923477.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
423771558.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
2342455447.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
190698162.jpg,0,Cassava Bacterial Blight (CBB),4,Healthy,False
1012426959.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
2591061061.jpg,0,Cassava Bacterial Blight (CBB),1,Cassava Brown Streak Disease (CBSD),False
2933959901.jpg,0,Cassava Bacterial Blight (CBB),4,Healthy,False
90606533.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
4145595052.jpg,0,Cassava Bacterial Blight (CBB),3,Cassava Mosaic Disease (CMD),False
3674354159.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
2233347534.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
733701690.jpg,0,Cassava Bacterial Blight (CBB),4,Healthy,False
1236036550.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
1258444443.jpg,0,Cassava Bacterial Blight (CBB),3,Cassava Mosaic Disease (CMD),False
2154636640.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
2339434665.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
1406654897.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
164144958.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
2915539500.jpg,0,Cassava Bacterial Blight (CBB),4,Healthy,False
2315485719.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
2146353282.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
2948468563.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
4181351157.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
1763195879.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
316423437.jpg,0,Cassava Bacterial Blight (CBB),4,Healthy,False
670519295.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
2462319978.jpg,0,Cassava Bacterial Blight (CBB),3,Cassava Mosaic Disease (CMD),False
2383823888.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
888355689.jpg,0,Cassava Bacterial Blight (CBB),4,Healthy,False
1270462565.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
2246807690.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
1272495783.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
2027426362.jpg,0,Cassava Bacterial Blight (CBB),4,Healthy,False
1036959902.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
544530143.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
29400522.jpg,0,Cassava Bacterial Blight (CBB),1,Cassava Brown Streak Disease (CBSD),False
3368595399.jpg,0,Cassava Bacterial Blight (CBB),4,Healthy,False
4223665750.jpg,0,Cassava Bacterial Blight (CBB),4,Healthy,False
3249336274.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
3573249940.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
1709691411.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
851450770.jpg,0,Cassava Bacterial Blight (CBB),1,Cassava Brown Streak Disease (CBSD),False
695167489.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
3995859683.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
244407780.jpg,0,Cassava Bacterial Blight (CBB),4,Healthy,False
2177675284.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
49247184.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
2945964157.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
3649693860.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
3493597952.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
1905806148.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
3540803278.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
2363265177.jpg,0,Cassava Bacterial Blight (CBB),1,Cassava Brown Streak Disease (CBSD),False
1003888281.jpg,0,Cassava Bacterial Blight (CBB),4,Healthy,False
827134808.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
3372358709.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
416062259.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
3934839031.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
2559666155.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
2261678500.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
291787943.jpg,0,Cassava Bacterial Blight (CBB),4,Healthy,False
988174802.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
1806336706.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
1957663737.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
2896421172.jpg,0,Cassava Bacterial Blight (CBB),4,Healthy,False
2974027386.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
2440838390.jpg,0,Cassava Bacterial Blight (CBB),4,Healthy,False
2653588387.jpg,0,Cassava Bacterial Blight (CBB),4,Healthy,False
1909574970.jpg,0,Cassava Bacterial Blight (CBB),1,Cassava Brown Streak Disease (CBSD),False
3950261672.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
3306255309.jpg,0,Cassava Bacterial Blight (CBB),4,Healthy,False
2258402011.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
3483344406.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
3197802027.jpg,0,Cassava Bacterial Blight (CBB),4,Healthy,False
2343776715.jpg,0,Cassava Bacterial Blight (CBB),4,Healthy,False
4040102956.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
3051263035.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
566571284.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
344288315.jpg,0,Cassava Bacterial Blight (CBB),2,Cassava Green Mottle (CGM),False
2174393587.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
2150625929.jpg,0,Cassava Bacterial Blight (CBB),3,Cassava Mosaic Disease (CMD),False
798023657.jpg,0,Cassava Bacterial Blight (CBB),4,Healthy,False
58780369.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
2653828415.jpg,0,Cassava Bacterial Blight (CBB),4,Healthy,False
1426129628.jpg,0,Cassava Bacterial Blight (CBB),4,Healthy,False
3368561907.jpg,0,Cassava Bacterial Blight (CBB),4,Healthy,False
1218204606.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
2373132884.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
1797773732.jpg,0,Cassava Bacterial Blight (CBB),4,Healthy,False
1474376023.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
2552592093.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
2052193319.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
1078590865.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
1292954141.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
436868168.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
1166973570.jpg,0,Cassava Bacterial Blight (CBB),4,Healthy,False
3955442838.jpg,0,Cassava Bacterial Blight (CBB),4,Healthy,False
4224082964.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
2109198789.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
476858432.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
2522608813.jpg,0,Cassava Bacterial Blight (CBB),4,Healthy,False
25519336.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
775831061.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
2772545038.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
944255811.jpg,0,Cassava Bacterial Blight (CBB),4,Healthy,False
2819885255.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
3413149507.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
2394377949.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
4060802139.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
2503003890.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
125207834.jpg,0,Cassava Bacterial Blight (CBB),1,Cassava Brown Streak Disease (CBSD),False
3187755920.jpg,0,Cassava Bacterial Blight (CBB),4,Healthy,False
136815898.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
3476081387.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
3602702041.jpg,0,Cassava Bacterial Blight (CBB),4,Healthy,False
3684621874.jpg,0,Cassava Bacterial Blight (CBB),1,Cassava Brown Streak Disease (CBSD),False
2142120980.jpg,0,Cassava Bacterial Blight (CBB),4,Healthy,False
2504222536.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
2265156316.jpg,0,Cassava Bacterial Blight (CBB),4,Healthy,False
1702068619.jpg,0,Cassava Bacterial Blight (CBB),4,Healthy,False
2932123995.jpg,0,Cassava Bacterial Blight (CBB),4,Healthy,False
2517495253.jpg,0,Cassava Bacterial Blight (CBB),4,Healthy,False
1443500189.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
543908014.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
3258193135.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
3184759653.jpg,0,Cassava Bacterial Blight (CBB),4,Healthy,False
2678764657.jpg,0,Cassava Bacterial Blight (CBB),3,Cassava Mosaic Disease (CMD),False
67533463.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
3611370404.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
1981073260.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
2267434559.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
2944536503.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
2989643303.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
3966256467.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
1536737469.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
3115344482.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
353746186.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
4044444164.jpg,0,Cassava Bacterial Blight (CBB),4,Healthy,False
3724194878.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
3335121390.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
3257227990.jpg,0,Cassava Bacterial Blight (CBB),1,Cassava Brown Streak Disease (CBSD),False
1089759212.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
1629534694.jpg,0,Cassava Bacterial Blight (CBB),2,Cassava Green Mottle (CGM),False
1919668160.jpg,0,Cassava Bacterial Blight (CBB),1,Cassava Brown Streak Disease (CBSD),False
4074421218.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
